Location,Entry Id,Created Date,Action,Amount,Cash Drawer,Payout Reason,No Sale Reason,Comment,Employee,Employee 2
2919 Blanco Rd,800000030618152924,10/11/25 6:10 AM,CASH_PAYMENT,6.79,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
2919 Blanco Rd,800000030618353522,10/11/25 6:51 AM,CASH_PAYMENT,6.46,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
2919 Blanco Rd,800000030618522058,10/11/25 7:10 AM,CASH_PAYMENT,30.65,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
2919 Blanco Rd,800000030618723307,10/11/25 7:27 AM,CASH_PAYMENT,4.30,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030618848635,10/11/25 7:37 AM,CASH_PAYMENT,4.32,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
2919 Blanco Rd,800000030618878146,10/11/25 7:39 AM,CASH_PAYMENT,17.23,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030619113500,10/11/25 7:54 AM,CASH_PAYMENT,6.46,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030619494740,10/11/25 8:14 AM,CASH_PAYMENT,8.19,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030619513250,10/11/25 8:15 AM,CASH_PAYMENT,4.30,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030619525451,10/11/25 8:16 AM,CASH_PAYMENT,9.18,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030619532170,10/11/25 8:16 AM,CASH_PAYMENT,8.65,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
2919 Blanco Rd,800000030619556267,10/11/25 8:17 AM,CASH_PAYMENT,11.45,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030620257839,10/11/25 8:47 AM,CASH_PAYMENT,12.98,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030620550976,10/11/25 8:59 AM,CASH_PAYMENT,12.93,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
2919 Blanco Rd,800000030620619851,10/11/25 9:01 AM,CASH_PAYMENT,23.47,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030620763095,10/11/25 9:06 AM,CASH_PAYMENT,5.39,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030621188685,10/11/25 9:21 AM,CASH_PAYMENT,13.30,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030621304142,10/11/25 9:24 AM,CASH_PAYMENT,10.78,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030621513053,10/11/25 9:31 AM,CASH_PAYMENT,2.15,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030621619733,10/11/25 9:34 AM,CASH_PAYMENT,10.80,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
2919 Blanco Rd,800000030622014086,10/11/25 9:47 AM,CASH_PAYMENT,2.15,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030622096400,10/11/25 9:49 AM,CASH_PAYMENT,31.65,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
2919 Blanco Rd,800000030622135506,10/11/25 9:50 AM,CASH_PAYMENT,18.92,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
2919 Blanco Rd,800000030622160860,10/11/25 9:51 AM,CASH_PAYMENT,16.30,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030622218763,10/11/25 9:53 AM,CASH_PAYMENT,8.62,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
2919 Blanco Rd,800000030622415403,10/11/25 9:59 AM,CASH_PAYMENT,6.46,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030622441112,10/11/25 9:59 AM,CASH_PAYMENT,13.78,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
2919 Blanco Rd,800000030622657142,10/11/25 10:05 AM,CASH_PAYMENT,11.10,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030622855075,10/11/25 10:10 AM,CASH_PAYMENT,11.42,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030622920901,10/11/25 10:12 AM,CASH_PAYMENT,7.11,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
2919 Blanco Rd,800000030623248926,10/11/25 10:20 AM,CASH_PAYMENT,7.87,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
2919 Blanco Rd,800000030623300202,10/11/25 10:21 AM,CASH_PAYMENT,8.94,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030623555083,10/11/25 10:27 AM,CASH_PAYMENT,8.37,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
