Location,Entry Id,Created Date,Action,Amount,Cash Drawer,Payout Reason,No Sale Reason,Comment,Employee,Employee 2
2919 Blanco Rd,800000030675348281,10/12/25 8:05 AM,CASH_PAYMENT,34.54,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
2919 Blanco Rd,800000030675364155,10/12/25 8:06 AM,CASH_PAYMENT,7.34,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
2919 Blanco Rd,800000030675713790,10/12/25 8:26 AM,CASH_PAYMENT,6.47,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030675773514,10/12/25 8:30 AM,CASH_PAYMENT,4.85,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030675873319,10/12/25 8:35 AM,CASH_PAYMENT,5.39,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030675921266,10/12/25 8:37 AM,CASH_PAYMENT,18.38,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
2919 Blanco Rd,800000030676058227,10/12/25 8:44 AM,CASH_PAYMENT,7.11,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030676250500,10/12/25 8:52 AM,CASH_PAYMENT,13.79,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
2919 Blanco Rd,800000030676257498,10/12/25 8:53 AM,CASH_PAYMENT,8.37,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
2919 Blanco Rd,800000030676413130,10/12/25 9:00 AM,CASH_PAYMENT,25.68,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
2919 Blanco Rd,800000030676684900,10/12/25 9:10 AM,CASH_PAYMENT,5.94,Front Box Cash Drawer,,,Cash payment,AM CASHIER,
2919 Blanco Rd,800000030676743673,10/12/25 9:13 AM,CASH_PAYMENT,12.98,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030676761768,10/12/25 9:13 AM,CASH_PAYMENT,7.00,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030676944205,10/12/25 9:20 AM,CASH_PAYMENT,8.61,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030677148002,10/12/25 9:27 AM,CASH_PAYMENT,6.43,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030677332054,10/12/25 9:33 AM,CASH_PAYMENT,8.19,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030677394916,10/12/25 9:35 AM,CASH_PAYMENT,12.41,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
2919 Blanco Rd,800000030677462740,10/12/25 9:38 AM,CASH_PAYMENT,4.30,Drive Thru Cash Drawer,,,Cash payment,Cin Cin,
